"";"db_ref";"objectives"
"945";"crs_41119-TR-S13-RT";"UNFPA Turkey Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"946";"crs_41119-TZ-S11-RT";"UNFPA Tanzania, United Republic of  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"947";"crs_41119-TZ-S13-RT";"UNFPA Tanzania, United Republic of Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"948";"crs_41119-UA-S11-RT";"UNFPA Ukraine  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"949";"crs_41119-UG-S11-RT";"UNFPA Uganda  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"950";"crs_41119-UG-S13-RT";"UNFPA Uganda Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"951";"crs_41119-UY-S11-RT";"UNFPA Uruguay  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"952";"crs_41119-UY-S13-RT";"UNFPA Uruguay Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"953";"crs_41119-UZ-S11-RT";"UNFPA Uzbekistan  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"954";"crs_41119-UZ-S13-RT";"UNFPA Uzbekistan Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"955";"crs_41119-VE-S11-RT";"UNFPA Venezuela, Bolivarian Republic of  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"956";"crs_41119-VE-S13-RT";"UNFPA Venezuela, Bolivarian Republic of Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"957";"crs_41119-VN-S11-RT";"UNFPA Viet Nam  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"958";"crs_41119-VN-S13-RT";"UNFPA Viet Nam Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"959";"crs_41119-XK-S11-RT";"UNFPA Kosovo (UNSCR 1244)  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"960";"crs_41119-XK-S13-RT";"UNFPA Kosovo (UNSCR 1244) Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"961";"crs_41119-YE-S11-RT";"UNFPA Yemen  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"962";"crs_41119-YE-S13-RT";"UNFPA Yemen Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"963";"crs_41119-ZA-S11-RT";"UNFPA South Africa  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"964";"crs_41119-ZA-S13-RT";"UNFPA South Africa Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"965";"crs_41119-ZM-S11-RT";"UNFPA Zambia  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"966";"crs_41119-ZM-S13-RT";"UNFPA Zambia Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"967";"crs_41119-ZW-S11-RT";"UNFPA Zimbabwe  Increased multisectoral capacity to prevent and address gender-based violence using a continuum approach in all contexts, with a focus on advocacy, data, health and health systems, psychosocial support and coordination activities"
"968";"crs_41119-ZW-S13-RT";"UNFPA Zimbabwe Improved national population data systems to map and address inequalities; to advance the achievement of the Sustainable Development Goals and the commitments of the Programme of Action of the International Conference on Population and Development; and to strengthen interventions in humanitarian crises activities"
"969";"crs_US-USAGOV-14-PEPFAR-85173";"Scaling up and Improving Quality of Civil Registration and Vital Statistics in Malawi Through the National Registration Bureau under PEPFAR - NATIONAL REGISTRATION BUREAU"
"970";"crs_XM-OCHA-CERF-16-UF-OPS-002";"The main objective of this project is to contribute to increase access, reduce risk and save the lives of the returning IDPs and humanitarian actors by enhancing the capacity of national counterparts to safely and accurately conduct non-technical surveys to identify areas contaminated with ERW and landmines. UNMAS will use CERF to 1) train 24 national counterparts in the application of a non-technical survey, 2) provide the same national counterparts with non-technical survey equipment packages and emergency first aid kit, and 3) implement non-technical surveys in Benghazi among other activities. 35,000 IDPs and 178,000 people in host communities in Benghazi will benefit from this support for nine months."
"971";"crs_GB-CHC-288701-BDR89";""
"972";"crs_44000-P169497";"The objective of the National Program for Improving the Quality of Statistics in India is to improve the quality, efficiency, and user relevance of statistics produced by the India Ministry of Statistics and Program Implementation. The Program has four components. 1. Improving Survey Data Quality component will include: a) improving survey data quality; b) assessing and improving survey methodologies; c) performing analyses on impact of the transition from paper-based schedules to Computer-Assisted Personal Interviewing (CAPI) questionnaires; d) providing appropriate equipment including hardware; e) facilitating organizational restructuring and developing an advance release calendar, workshops, training, and consultations; and developing an eLearning course for investigators. 2. Making Most of Existing Data component will include: a) strengthening the implementation of the NIIP; b) carrying out training and capacity building activities to enable the implementation of the National Integrated Information Platform (NIIP); and c) releasing periodic factsheets of the Indian economy. 3. Enhancing User Relevance of Published Statistics component will include the following: a) introducing innovative ways of disseminating data such as online mapping and tabulation tools and strengthening user-producer interactions during National Statistics Days; b) promoting data advocacy through capacity building, training, data visualization, social media presence; and c) providing necessary hardware and software and software development. 4. Project Management Support component will include, inter-alia: (i) strengthening the Project Management Unit (PMU), housed under National Statistical Office (NSO), Ministry of Statistics and Program Implementation (MOSPI) in the day to day management of implementation of Project activities; (ii) setting up a monitoring and evaluation (M and E) system; ("
"973";"crs_44000-P171377";"The development objective of Statistical Innovation and Capacity Building is to improve the quality and efficiency of welfare data collection, and accessibility to comparable welfare data in Tonga. This project has three components. 1) The first component, Innovation and capacity building in data collection, has the following sub-components: (i)  2020-2021 Household Income and Expenditure Survey; (ii)  2024-2025 Household Income and Expenditure Survey; (iii) Data collection for economic statistics; and (iv)  Data collection to improve early warning systems for natural disasters. 2) The second component, Institutional strengthening, has the following sub-components: (i) Analytical training; (ii) Data and research dissemination; and (iii) Information and Communication Technology (ICT )and office furnishing improvements."
"974";"crs_44000-P171380";"The development objective of Statistical Innovation and Capacity Building is to improve the quality and efficiency of welfare data collection, and accessibility to comparable welfare data in Kiribati. This project has three components. 1) The first component, Innovation and capacity building in data collection, has the following sub-components: (i)  Household Income and Expenditure Survey; and (ii)  Data collection for economic statistics. 2) The second component,  Institutional strengthening, has the following sub-components: (i)  Institutional Review; (ii)  Review of Kiribati's legal and regulatory framework on statistics; (iii) Data Coordination; (iv) Training on data analysis and dissemination; and (v)  Office facilities. 3) The third component,  Implementation support, aims to provide operational and technical assistance to Kiribati on project management and implementation."
"975";"crs_44000-P171777";"The objective of the Economic Management and Statistics Development for Policy Making Project for Djibouti is  to strengthen the capacity of the National Institute of Statistics of Djibouti (INSD) to produce and disseminate timely and reliable statistics in a sustainable manner and modernize the Recipient's selected economic and fiscal management tools and processes in Djibouti. The Project has three components. 1. Strengthening the capacity of the National Institute of Statistics of Djibouti (INSD) to produce and disseminate timely and reliable statistics in a sustainable manner component will invest in the basics: INSD's physical and human resources, build capacity of its staff as well as core data collection using best practices. These, in turn, should create the preconditions for INSD to produce and disseminate timely and reliable foundational statistics. 1.1. Operationalization of the National Institute of Statistics of Djibouti (INSD) subcomponent will finance four activities: (a) Upgrade of the physical infrastructure and equipment of the INSD; (b) Strengthening of the INSD institutional framework; (c) Human Resources (HR) policy on staffing; and (d) Training. 1.2. Strengthening statistical production and dissemination subcomponent will finance foundational statistical production and quality improvement activities of INSD. 2. Modernizing the Recipient's selected economic and fiscal management tools and processes component will modernize the Recipient's selected economic and fiscal management tools and processes. 2.1. Building macroeconomic modeling capacity subcomponent will develop macroeconomic modeling capacity for short, medium, and long-term forecasting, macroeconomic and microeconomic simulation, as well as debt sustainability analysis. 2.2. Budget preparation and investment planning subcomponent will support the Government's commitment to transition towa"
"976";"crs_44000-P173977";""
"977";"crs_XI-IATI-WBTF-P159954";"To strengthen the capacity of the national statistical bureau to collect, process, and disseminate data and statistics on living sta ndards, labor markets, and agriculture. "
"978";"crs_XI-IATI-WBTF-P173977";"The PDO is to enable the Agency for Statistics to modernize statistical production, dissemination, and improve user engagement. "
"979";"crs_XI-IATI-WBTF-P163711";"To improve effectiveness of tax collection and the national statistical system. "
"980";"crs_XM-DAC-41140-ID02.05.011.AAA1";"Provide policy engagement, technical assistance and advocacy for government and other partners to enhance attention to, and the use of, food security and nutrition evidence"
"981";"crs_XM-DAC-41140-ID01.01.013.AAA1";"Support the Government in collecting and analysing food security and nutrition data for optimum policies and programmes"
"982";"crs_XM-DAC-928-AR-2018-19-01.003.AM01.ARG02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"983";"crs_XM-DAC-928-AR-2018-19-04.004.AM01.ARG01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"984";"crs_XM-DAC-928-AO-2020-21-04.001.AF01.AGO02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"985";"crs_XM-DAC-928-BB-2016-17-04.004.AM01.BRB01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"986";"crs_XM-DAC-928-BB-2018-19-04.004.AM01.BRB01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"987";"crs_XM-DAC-928-BB-2020-21-04.001.AM01.BRB01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"988";"crs_XM-DAC-928-BB-2020-21-04.001.AM01.BRB02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"989";"crs_XM-DAC-928-BD-2016-17-04.004.SE01.BAN01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"990";"crs_XM-DAC-928-BD-2018-19-04.004.SE01.BAN01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"991";"crs_XM-DAC-928-BD-2020-21-04.001.SE01.BAN01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"992";"crs_XM-DAC-928-AR-2020-21-04.001.AM01.ARG01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"993";"crs_XM-DAC-928-AR-2020-21-04.001.AM01.ARG02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"994";"crs_XM-DAC-928-AZ-2020-21-04.001.EU01.AZE01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"995";"crs_XM-DAC-928-AZ-2020-21-04.001.EU01.AZE02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"996";"crs_XM-DAC-928-BA-2018-19-04.004.EU01.BIH01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"997";"crs_XM-DAC-928-BA-2020-21-04.001.EU01.BIH01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"998";"crs_XM-DAC-928-AE-2016-17-04.004.EM01.UAE01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"999";"crs_XM-DAC-928-AE-2018-19-01.003.EM01.UAE02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1000";"crs_XM-DAC-928-AE-2018-19-04.004.EM01.UAE01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1001";"crs_XM-DAC-928-AE-2020-21-04.001.EM01.UAE01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1002";"crs_XM-DAC-928-AF-2016-17-04.004.EM01.AFG01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1003";"crs_XM-DAC-928-AF-2018-19-04.004.EM01.AFG01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1004";"crs_XM-DAC-928-AF-2020-21-04.001.EM01.AFG01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1005";"crs_XM-DAC-928-AF-2020-21-04.001.EM01.AFG02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1006";"crs_XM-DAC-928-AG-2018-19-01.003.AM01.ATG02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1007";"crs_XM-DAC-928-AG-2020-21-04.001.AM01.ATG01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1008";"crs_XM-DAC-928-AG-2020-21-04.001.AM01.ATG02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1009";"crs_XM-DAC-928-AL-2016-17-04.004.EU01.ALB01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1010";"crs_XM-DAC-928-AL-2018-19-04.004.EU01.ALB01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1011";"crs_XM-DAC-928-AL-2020-21-04.001.EU01.ALB01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1012";"crs_XM-DAC-928-AL-2020-21-04.001.EU01.ALB02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1013";"crs_XM-DAC-928-AO-2016-17-04.004.AF01.AGO01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1014";"crs_XM-DAC-928-AO-2018-19-04.004.AF01.AGO01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1015";"crs_XM-DAC-928-AO-2020-21-04.001.AF01.AGO01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1016";"crs_XM-DAC-928-BR-2020-21-04.001.AM01.BRA02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1017";"crs_XM-DAC-928-BS-2016-17-04.004.AM01.BHS01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1018";"crs_XM-DAC-928-BS-2018-19-04.004.AM01.BHS01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1019";"crs_XM-DAC-928-BS-2020-21-04.001.AM01.BHS01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1020";"crs_XM-DAC-928-BS-2020-21-04.001.AM01.BHS02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1021";"crs_XM-DAC-928-BT-2016-17-04.004.SE01.BHU01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1022";"crs_XM-DAC-928-BT-2018-19-01.003.SE01.BHU02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1023";"crs_XM-DAC-928-BT-2020-21-04.001.SE01.BHU01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1024";"crs_XM-DAC-928-BW-2016-17-04.004.AF01.BWA01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1025";"crs_XM-DAC-928-BW-2018-19-01.003.AF01.BWA02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1026";"crs_XM-DAC-928-BW-2020-21-04.001.AF01.BWA01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1027";"crs_XM-DAC-928-BW-2020-21-04.001.AF01.BWA02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1028";"crs_XM-DAC-928-BY-2018-19-04.004.EU01.BLR01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1029";"crs_XM-DAC-928-BY-2018-19-12.001.EU01.BLR02";"Global expert networks and innovative mechanisms developed to manage new and evolving high-threat infectious hazards (such as for clinical management, laboratories, social science, and data modelling)"
"1030";"crs_XM-DAC-928-BY-2020-21-04.001.EU01.BLR01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1031";"crs_XM-DAC-928-BZ-2016-17-04.004.AM01.BLZ01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1032";"crs_XM-DAC-928-BD-2020-21-04.001.SE01.BAN02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1033";"crs_XM-DAC-928-BF-2016-17-12.001.AF01.BFA02";"Global expert networks and innovative mechanisms developed to manage new and evolving high-threat infectious hazards (such as for clinical management, laboratories, social science, and data modelling)"
"1034";"crs_XM-DAC-928-BF-2018-19-04.004.AF01.BFA01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1035";"crs_XM-DAC-928-BF-2020-21-04.001.AF01.BFA01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1036";"crs_XM-DAC-928-BG-2016-17-04.004.EU01.BUL01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1037";"crs_XM-DAC-928-BG-2018-19-04.004.EU01.BUL01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1038";"crs_XM-DAC-928-BG-2020-21-04.001.EU01.BUL01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1039";"crs_XM-DAC-928-BH-2018-19-04.004.EM01.BAA01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1040";"crs_XM-DAC-928-BI-2016-17-04.004.AF01.BDI01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1041";"crs_XM-DAC-928-BI-2018-19-01.003.AF01.BDI02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1042";"crs_XM-DAC-928-BI-2018-19-04.004.AF01.BDI01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1043";"crs_XM-DAC-928-BI-2020-21-04.001.AF01.BDI01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1044";"crs_XM-DAC-928-BI-2020-21-04.001.AF01.BDI02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1045";"crs_XM-DAC-928-BJ-2016-17-04.004.AF01.BEN01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1046";"crs_XM-DAC-928-BJ-2018-19-04.004.AF01.BEN01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1047";"crs_XM-DAC-928-BJ-2020-21-04.001.AF01.BEN01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1048";"crs_XM-DAC-928-BJ-2020-21-04.001.AF01.BEN02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1049";"crs_XM-DAC-928-BO-2016-17-04.004.AM01.BOL01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1050";"crs_XM-DAC-928-BO-2020-21-04.001.AM01.BOL01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1051";"crs_XM-DAC-928-BO-2020-21-04.001.AM01.BOL02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1052";"crs_XM-DAC-928-BR-2018-19-01.003.AM01.BRA02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1053";"crs_XM-DAC-928-BR-2018-19-04.004.AM01.BRA01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1054";"crs_XM-DAC-928-BR-2018-19-12.001.AM01.BRA02";"Global expert networks and innovative mechanisms developed to manage new and evolving high-threat infectious hazards (such as for clinical management, laboratories, social science, and data modelling)"
"1055";"crs_XM-DAC-928-BR-2020-21-04.001.AM01.BRA01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1056";"crs_XM-DAC-928-CL-2020-21-04.001.AM01.CHL01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1057";"crs_XM-DAC-928-CL-2020-21-04.001.AM01.CHL02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1058";"crs_XM-DAC-928-CM-2018-19-04.004.AF01.CMR01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1059";"crs_XM-DAC-928-CM-2020-21-04.001.AF01.CMR01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1060";"crs_XM-DAC-928-CM-2020-21-04.001.AF01.CMR02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1061";"crs_XM-DAC-928-CN-2016-17-04.004.WP01.CHN01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1062";"crs_XM-DAC-928-CN-2018-19-04.004.WP01.CHN01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1063";"crs_XM-DAC-928-CN-2020-21-04.001.WP01.CHN01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1064";"crs_XM-DAC-928-CN-2020-21-04.001.WP01.CHN02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1065";"crs_XM-DAC-928-CO-2016-17-04.004.AM01.COL01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1066";"crs_XM-DAC-928-CO-2018-19-01.003.AM01.COL02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1067";"crs_XM-DAC-928-CO-2018-19-04.004.AM01.COL01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1068";"crs_XM-DAC-928-CO-2020-21-04.001.AM01.COL01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
"1069";"crs_XM-DAC-928-CO-2020-21-04.001.AM01.COL02";"GPW 13 impacts and outcomes, global and regional health trends, Sustainable Development Goal indicators, health inequalities and disaggregated data monitored"
"1070";"crs_XM-DAC-928-CR-2016-17-04.004.AM01.CRI01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants, using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1071";"crs_XM-DAC-928-CR-2018-19-01.003.AM01.CRI02";"Updated policy recommendations, strategic and technical guidelines on vector control, diagnostic testing, antimalarial treatment, including for hard-to-reach populations, integrated management of febrile illness, surveillance and disaggregation of data, epidemic detection and response for accelerated malaria reduction and elimination"
"1072";"crs_XM-DAC-928-CR-2018-19-04.004.AM01.CRI01";"Comprehensive monitoring of the global, regional and country health situation, trends, inequalities and determinants using global standards, including data collection and analysis to address data gaps and system performance assessment"
"1073";"crs_XM-DAC-928-CR-2020-21-04.001.AM01.CRI01";"Countries enabled to strengthen data, analytics and health information systems to inform policy and deliver impacts."
